作者,粉丝,标题,点赞,硬币,收藏,分享,弹幕,播放,评论,时长,上传时间,爬取时间,频道,标签,分区,时间
汉堡头子,2745,【王喜顺】Something Just Like 对对对⚡,62971,36957,16476,5865,1321,650939,2057,185,2021/12/19 17:25,2021/12/22 11:41,鬼畜星探企划 人力VOCALOID 鬼畜调教 CS:GO 鬼畜,鬼畜 人力VOCALOID,kichiku,2.761087963
逗比的雀巢,4579048,FBI ：奇怪？犯人怎么消失了？,745312,520201,157982,24959,8421,5646715,9712,273,2021/12/19 12:05,2021/12/23 15:53,搞笑,生活 搞笑,life,4.158298611
淘宝,343363,《2021淘宝丑东西颁奖盛典》——丑者归来！,133585,24903,24791,72954,23827,3115469,4326,1337,2021/12/20 21:00,2021/12/23 15:53,综艺 搞笑,生活 搞笑,life,2.786990741
啊吗粽,4172876,看到这一幕，我直接绷不住了。。。,111452,59274,15358,1771,2541,859862,1922,594,2021/12/20 19:48,2021/12/23 15:53,公益 微电影,生活 日常,life,2.83693287
大漠叔叔,4844995,漠叔远到广西宣传农村，老乡纷纷介绍媳妇,139950,34186,5926,3501,13712,1266182,3304,611,2021/12/21 12:00,2021/12/23 15:53,农村 美食 搞笑,生活 日常,life,2.162141204
朝阳冬泳怪鸽本人,350450,冬泳怪鸽祝同学们考研顺利！加油！奥利给！哈哈哈哈哈,219920,102434,13391,15581,5184,1737221,2840,20,2021/12/19 14:28,2021/12/23 15:53,奥利给 考研,生活 日常,life,4.059351852
宝剑嫂,3937373,投壶挑战！男朋友竟然让我买史上最贵的乐高….,137030,23085,5776,2344,10230,973953,1439,732,2021/12/20 18:05,2021/12/23 15:53,年底情感回忆杀 情侣 搞笑,生活 日常,life,2.908611111
紫菜蛋花兔兔,1326893,外面风好大 家里好冷,158497,6620,20542,7213,299,3064457,1731,13,2021/12/19 15:23,2021/12/23 15:53,无限搞笑公司 搞笑,生活 搞笑,life,4.020960648
凉风Kaze,8236749,为了防止电视诈骗把电视砸了【阅片无数Ⅱ 32】,108806,14939,6205,1068,5985,851742,2129,594,2021/12/22 22:00,2021/12/23 15:53,阅片无数 手办模玩 搞笑,生活 搞笑,life,0.745752315
妈见打,833407,【野生人类图鉴】奶奶带大，广场一霸,110950,2479,9145,1403,785,1056896,652,97,2021/12/21 18:14,2021/12/23 15:53,搞笑,生活 搞笑,life,1.902418981
视角姬,2851036,生日聚会！朋友竟送我法拉利？！,70884,39481,11754,1904,2605,710597,2006,533,2021/12/21 19:41,2021/12/23 15:54,开箱 汽车 vlog 搞笑,生活 日常,life,1.842280093
LLlouis,4171,2021 我的21岁,55732,42096,16497,3985,1964,559740,4220,501,2021/12/21 13:26,2021/12/23 15:54,,生活 日常,life,2.102326389
贤宝宝Baby,5232764,我买了一些丑东西.......,86568,10162,4260,1019,4639,736988,825,371,2021/12/21 17:10,2021/12/23 15:54,搞笑,生活 搞笑,life,1.947349537
华芳20,178,致敬伟大的父亲,87217,1896,8797,923,268,972939,1072,16,2021/12/19 22:15,2021/12/23 15:54,,生活 日常,life,3.735277778
新华社,3951185,新华农兄弟：冬至到了给兄弟们准备了饺子和惊喜,78656,16522,3387,903,13766,727657,2502,1355,2021/12/21 11:15,2021/12/23 15:54,美食 搞笑,生活 日常,life,2.193958333
纸质动画师Takaaki,46670,【进击的巨人】肝帝！700小时手绘，时隔120天，利威尔暴虐野兽巨人名场面！,57121,54128,11494,1879,1125,454594,1224,495,2021/12/19 20:59,2021/12/23 15:54,手绘 绘画,生活 绘画,life,3.788055556
盖里老哥,1321340,危！当着爸妈面让女友闭嘴！女友没急爸妈急眼了？！,64389,9666,2477,1172,1868,910891,1282,361,2021/12/21 18:00,2021/12/23 15:54,无限搞笑公司 搞笑,生活 搞笑,life,1.91287037
滑大头号大厨,168,北方冬天就这点好,67485,259,3897,1128,419,1091510,693,61,2021/12/21 13:55,2021/12/23 15:54,必剪创作,生活 搞笑,life,2.082893519
清蒸鲤鱼不如你,292159,那个男孩不会让她输的,106170,2785,10724,2731,724,1529649,2390,36,2021/12/18 13:59,2021/12/23 15:54,,生活 日常,life,5.079953704
