,标题,up主,频道,标签,播放量,粉丝数,点赞,硬币,收藏,分享,弹幕,评论,时间,点赞率,投币率,收藏率,分享率,期数,发布时间,爬取时间
1,这集vlog我们拍了十年，致最美好的青春,AresserA-Vlog,婚礼 旅拍 情侣 旅游 vlog,生活 日常,4688315,241038,483833,540892,245853,199797,66907,21761,23479.28694,0.103199764,0.115370234,0.052439523,0.042615951,1,2019/3/21 15:10,2021/11/23 22:27
2,华农兄弟：兄弟家的鱼跑河里去了，帮他网回来，一网下去还不少,华农兄弟,农村,生活 日常,2490112,6477680,74293,28339,4819,2615,21597,5647,23402.95361,0.029835204,0.011380613,0.001935254,0.001050154,1,2019/3/24 19:30,2021/11/23 22:27
3,【性转版】回家的诱惑（刘亦菲/刘昊然/邓伦/吴磊/贾玲）,兰彻lancche,雷佳音 陈伟霆 贾玲 邓伦 李易峰 刘昊然 刘亦菲 吴磊 沈腾 影视混剪,影视 影视剪辑,4346973,150508,231601,208008,153808,152263,42350,12489,23570.72833,0.053278684,0.047851229,0.035382782,0.035027363,1,2019/3/17 19:43,2021/11/23 22:27
4,【敖厂长】20年前此暴力游戏火遍中国,敖厂长,,游戏 单机游戏,5613518,7580965,204983,193604,52462,8882,16687,9176,23479.84583,0.03651596,0.034488889,0.009345655,0.001582252,1,2019/3/21 14:36,2021/11/23 22:27
5,哆啦A梦结局背后的秘密？从未播出的黑历史？真相出人意料,瓶子君152,哆啦A梦 动漫杂谈,动画 综合,2370739,3199324,151462,132213,53939,4107,4743,3308,23411.44556,0.063888096,0.055768686,0.022751977,0.001732371,1,2019/3/24 11:00,2021/11/23 22:27
6,【AI换脸】当洪世贤穿上品如的衣服,用户名未填写,洪世贤 搞笑,影视 影视剪辑,1477159,35656,59444,37696,36277,49742,2956,3084,23563.375,0.040242113,0.025519257,0.024558629,0.0336741,1,2019/3/18 3:04,2021/11/23 22:27
7,在中国挑战通宵卖烧烤！为啥美国没有这个？,我是郭杰瑞,烧烤 美国 吃货 旅游 美食,美食 美食侦探,2532014,7049725,74243,18690,5324,2024,14168,3501,23507.47278,0.029321718,0.007381476,0.002102674,0.000799364,1,2019/3/20 10:59,2021/11/23 22:27
8,【纯黑】《鬼泣5》一周目无伤S评价攻略解说 第七期,-纯黑-,鬼泣5,游戏 单机游戏,1353184,3361460,61252,74383,19697,996,5679,1949,23382.1375,0.045265093,0.054968873,0.01455604,0.000736042,1,2019/3/25 16:19,2021/11/23 22:27
9,化身修罗只为守护你！此刻世界将为之颤抖！,烟季,游戏人生 刺客伍六七 刀剑神域 AMV Fate MAD,动画 MAD·AMV,6687812,924018,394611,409945,342306,31015,16083,6178,23450.19278,0.0590045,0.061297327,0.051183556,0.004637541,1,2019/3/22 20:15,2021/11/23 22:27
10,破案大师老番茄,老番茄,,游戏 单机游戏,5996422,16529816,128410,50506,26925,2545,15377,4089,23458.45583,0.021414437,0.008422689,0.004490178,0.00042442,1,2019/3/22 12:00,2021/11/23 22:27
11,[LPL春季赛] 3月23日 RNG vs IG,哔哩哔哩英雄联盟赛事,LPL 英雄联盟,游戏 电子竞技,3554393,11327318,37735,24959,20645,5263,106418,47610,23425.11722,0.01061644,0.007022015,0.005808305,0.001480703,1,2019/3/23 21:20,2021/11/23 22:27
12,the real suger baby已知最高画质,一嗷垚,动感视频 说唱 欧美音乐,音乐 音乐综合,28579984,25565,761850,238800,748010,101870,21709,19521,23955.65444,0.026656768,0.008355498,0.026172513,0.003564383,1,2019/3/1 18:48,2021/11/23 22:27
13,女主人扮恐龙把猫吓的到处飞，直接六亲不认，一脱衣服，猫：妈？,花花与三猫CatLive,喵星人 萌宠 搞笑,动物圈 喵星人,2619455,3360192,120199,89234,27058,12104,12778,4197,23285.17389,0.045887026,0.034065865,0.01032963,0.004620809,2,2019/3/29 17:17,2021/11/23 22:27
14,华农兄弟：狗狗走丢了一只，用无人机去找一下，看能不能找到,华农兄弟,萌宠,动物圈 汪星人,2875638,6477679,101064,39197,6757,1874,11431,14903,23259.45833,0.035144897,0.013630714,0.002349739,0.000651681,2,2019/3/30 19:00,2021/11/23 22:27
15,【真人炉石】暗影崛起-最秀新卡发布！,神奇的老皮VFX,炉石传说 桌游棋牌,游戏 电子竞技,4619353,2469822,305928,435343,150713,68831,13209,12087,23221.45528,0.066227457,0.094243285,0.032626431,0.014900572,2,2019/4/1 9:00,2021/11/23 22:27
16,哎呀妈呀！不用烤箱也能做出这么棒的【流心芝士挞】吗？,爱做饭的芋头SAMA,甜点 烘焙 美食,美食 美食制作,3285951,3397920,147283,73425,89344,12922,3535,3403,23186.58194,0.044822032,0.022345129,0.027189693,0.003932499,2,2019/4/2 19:52,2021/11/23 22:27
