author,title,tag,partition,funs,like,coins,collect,share,danmu,reply,time,like_rate,views
木鱼水心,许三多孤身入敌！老A全军覆没？《士兵突击》P8,影视 影视杂谈,all,7965289,247781,143746,24366,2807,28080,7246,67.31666667,0.153091852,1618512
歪果仁研究协会,我在第一次见面的地方向她求婚了,生活 日常,all,4049110,207752,228697,28627,5070,16583,8594,45.66666667,0.174802292,1188497
是老胡没错,社 交 废 物 4,生活 搞笑,all,813083,203563,62321,32952,17195,7308,6795,72.41666667,0.088405523,2302605
鲁大能,“你 开 炮 啊 ！”【迫击炮快乐阴人流#2】,游戏 网络游戏,all,1964943,167715,122199,29608,5901,9272,1883,54.01666667,0.140296797,1195430
进击的金厂长,当 代 毕 业 生 生 存 现 状 3.0,动画 综合,all,2689136,128799,116933,38051,6813,4448,3357,70.31666667,0.080464021,1600703
同济子豪兄,我们自己做的在线论文阅读神器ReadPaper【硕博科研学术文献综述必备】,知识 校园学习,all,110170,83639,76633,127821,13201,924,1987,77.23333333,0.100874035,829143
小约翰可汗,克格勃招不招酒蒙子？【硬核狠人17】,知识 人文历史,all,2610058,132732,67496,19448,5264,17886,6152,53.68333333,0.087077861,1524291
棉花大哥哥,原 神 之 友（第五期）,游戏 手机游戏,all,2334699,39986,52086,25297,2819,10240,27050,48.51666667,0.115970696,344794
盗月社食遇记,3年前拍的烧烤小店，生意爆火，老板反倒叫我赔钱？,美食 美食侦探,all,6302410,143814,58249,14899,6257,8337,3690,23.81666667,0.092829281,1549231
不高兴就喝水,5分钟，教你做个自动化软件拿来办公、刷副本、回微信 | 源码公开，开箱即用,科技 计算机技术,all,281516,144835,122295,113674,15666,3390,8356,92.15,0.08565729,1690866
刘庸干净又卫生,应广发粉丝的要求，印度晚上街头走一走，闲聊几句！,生活 日常,all,1626928,137030,54238,10335,5724,21781,8465,31.01666667,0.092070625,1488314
王师傅和小毛毛,六斤羊腿一整只，胖小伙抱着没法啃，吃完发现花了300多【就得这么晚-04狼来了】,美食 美食侦探,all,1018689,143893,61711,12108,4872,7491,2309,29.93333333,0.151086849,952386
刘叔小坏蛋,姐姐，您看我行吗,生活 搞笑,all,1600,154188,26376,14153,21526,5214,9117,94.41666667,0.048842034,3156871
小文哥吃吃吃,和敬汉卿用大铁锅炖牛肉，请老铁粉大口吃肉，大碗喝肉汤,美食 美食记录,all,2688402,179702,58245,9951,1397,4914,1693,74.01666667,0.129392976,1388808
萌不咕,不想努力时就来看看宝拉学姐【我们会在腐朽的日子里光芒万丈】,影视 影视剪辑,all,44360,74678,33412,64338,8714,3260,1495,48.1,0.077037902,969367
叔贵,销量千万的网红鞋，是怎么一点一点「毁掉」你腿的？,运动 健身,all,2077726,120888,14184,17371,15324,2939,5307,72.01666667,0.064396222,1877253
凉风Kaze,现在网上的开箱视频真是越来越给力了！【阅片无数Ⅱ 28】,生活 搞笑,all,8205073,143415,23876,9794,2243,8251,4946,20.01666667,0.107782933,1330591
papi酱,如何做一个“内心强大”的人？,生活 搞笑,all,6856724,130877,39752,11408,9313,3251,2333,24.01666667,0.147370566,888081
共青团中央,“ 东 风 ” 和 他 的 朋 友 们,生活 搞笑,all,9177430,113268,22163,18028,9594,1419,2347,72.46666667,0.125461753,902809
哇塞几张,月薪没有10W不敢去的超市究竟有多离谱？一支牙膏竟卖¥998！,生活 日常,all,784931,140694,18297,5832,6165,7439,3976,49.26666667,0.097867415,1437598
金喆tt,「 好 孩 子 」,动画 MAD·AMV,all,5301,69686,43012,31166,4830,730,5128,74.95,0.06849097,1017448
TF家族,【时代少年团】《这福气给你要不要》之福气有好戏,娱乐 明星综合,all,3766686,82950,28787,15863,2652,103994,10074,24.03333333,0.080864977,1025784
张镇辉台球教学,张镇辉台球正经教学【6个不太建议使用的技巧】4.0版本,运动 运动综合,all,289187,183293,8151,22827,19531,971,1328,97.03333333,0.066518503,2755519
Mr迷瞪,别纠结这132万被黑多少了，这房子很可能根本没法住,生活 家居房产,all,497208,95609,23956,9590,16910,15409,10998,55.63333333,0.058784975,1626419
盖里老哥,危！在女友面霜里加荧光颜料…一关灯脸都绿了！,生活 搞笑,all,1295199,104937,35903,6662,8748,4380,2226,47.95,0.093255035,1125269
铭湫锅锅,梅菜扣肉咬人事件,鬼畜 鬼畜剧场,all,79224,228079,12185,54075,34213,2407,3369,120.6166667,0.052601743,4335959
阿布夭二,我被台湾除户籍了……,生活 日常,all,226043,96998,46008,5724,1798,3036,2655,48.53333333,0.094327678,1028309
路温1900,坑啊！！花了132万在农村修了个“毛坯房”？！！,娱乐 综艺,all,2208746,96402,20590,5965,10228,25213,9809,50.08333333,0.095238942,1012212
皮特儿cc,花光所有积蓄撑不到一年的游戏机博物馆 还有得救吗？,游戏 单机游戏,all,14597,63171,45245,9902,3404,4463,7707,43.31666667,0.062790614,1006058
植物椿,《好汉生日歌》中英文双语对照国际版（热烈庆祝植物椿十八岁生日纪念）,生活 搞笑,all,1158095,51465,29439,32295,15529,1431,2330,49.75,0.108381594,474850
三十六贱笑,课 堂 请 勿 对 对 子【第二季】4.0 ！！！,动画 短片·手书·配音,all,4587900,419041,398461,121411,34791,14401,2882,126.5333333,0.136797106,3063230
白衣小太爷,“难兄难弟”,游戏 电子竞技,all,25516,54311,50439,18854,8687,1732,3300,74.85,0.072539725,748707
魔法Zc目录,【危机合约】“松烟行动”灰齐山麓18镀层+日替 全关卡平民攻略大合集！阵容平民+低练度+语音详解的愉悦攻略！《明日方舟》|魔法Zc目录 难度18 镀层,游戏 手机游戏,all,1526735,51715,34293,15626,2509,2968,3460,54.03333333,0.059284369,872321
生科笔记,一只笨手笨脚的白细胞去杀蛔虫...,知识 科学科普,all,23926,79339,1185,15422,5409,424,2475,73.35,0.043041874,1843298
罗翔说刑法,【罗翔】美国大学生论文外包？雇人写作业犯法吗？,知识 社科·法律·心理,all,19631901,98046,16389,5726,2859,5743,3246,54.05,0.121058344,809907
江寻千,有老婆的，真!~老婆饼,美食 美食制作,all,762310,133168,48055,21843,9633,4712,2683,98.15,0.07105033,1874277
柠檬家族乐团,打破次元壁！神仙翻唱《Do You Want To Build a Snowman》萌翻油管的小安娜cos来B站了！,音乐 翻唱,all,6302,72509,11643,17688,2537,478,494,47.86666667,0.098027525,739680
不是柯桑德,国外专业音乐人如何评价张韶涵？,音乐 音乐综合,all,1247756,81698,40586,6173,879,7143,2593,30.05,0.141442681,577605
南城风吹过,如果你在11月25日看到了，那我就祝你万事顺遂，永远开心。,动画 MAD·AMV,all,24440,82826,29051,12592,1824,11587,7106,95.06666667,0.158134899,523768
凤凰传奇,凤凰传奇“招摇撞骗”？阿特警官火速出警,娱乐 明星综合,all,1298649,74234,35005,7313,3942,7949,2239,25.05,0.103995551,713819
自动鬼畜中的WZ,说 唱 薪 逝 贷,鬼畜 鬼畜调教,all,585304,320741,90782,96461,38731,10575,2286,144.55,0.071095779,4511393
老饭骨,"卧汁调味、复炸三次，只为一口""最正宗的东北神菜”!丨锅包肉",美食 美食制作,all,2021653,45703,18997,20868,7024,2734,2081,44.25,0.078299454,583695
我是怪异君,翻译翻译什么叫本格推理【点到为止26】,知识 人文历史,all,2299290,46622,34266,18610,2419,4296,1408,69.3,0.102032911,456931
大漠叔叔,漠叔越来越受村民爱戴，大家参演热情高涨，拦都拦不住！,美食 美食记录,all,4738048,94283,25847,4299,1562,6649,2422,6.05,0.133300061,707299
了不起De中国人,国家不应该忘记他，人民不应该忘记他！,知识 人文历史,all,560639,75009,14195,7408,829,586,845,72.75,0.096047665,780956
星球研究所,【超燃4K】这山，这河，这中国！,知识 科学科普,all,470231,96884,52682,33388,6412,1387,1442,118.05,0.152359206,635892
M木糖M,学了十年代码写的《狂扁小朋友》,游戏 单机游戏,all,1436546,634394,232960,86790,25081,12056,4824,126.7166667,0.114940609,5519320
摸鱼事务所,我真的没有想到网络玩具都第六期了...,生活 搞笑,all,851264,70504,20935,5880,5975,7971,1397,47.05,0.095452909,738626
非非宇Fay,算命先生5：积善之家，必有余庆,影视 短片,all,365400,72643,8760,5020,648,240,1526,72.5,0.061148027,1187986
美食作家王刚R,厨师长教你：“西蓝花”的3种做法及清洗方法，清淡爽口，操作简单,美食 美食制作,all,6044412,56384,11614,14821,3578,1924,1518,48.68333333,0.091665204,615108
二十要吃奶盖,我家狗捡到了一只小奶猫..,动物圈 汪星人,all,83727,151251,45540,18529,2657,2046,1673,123.8,0.087042669,1737665
中国森林消防,这样的守护是不是安全感满满,生活 日常,all,222331,158948,1646,9296,3039,459,691,120.3333333,0.122435806,1298215
Roy大表哥,【四六级】一个月过四六级：干货技巧，让你稳过！3周猛涨200分保姆级教程！2021四六级|2021下四六级,知识 校园学习,all,218242,26540,21787,37104,3439,14076,1377,58.06666667,0.073824757,359500
FPX电子竞技俱乐部,FPX.Doinb 断开连接 感谢你 老队长 祝未来一切顺利,游戏 电子竞技,all,692365,69835,18292,6918,9695,6574,17531,75.13333333,0.035805164,1950417
EDG电子竞技俱乐部,电竞运动员明凯正式宣誓入党：我无比坚定地想成为一名中国共产党党员！,游戏 电子竞技,all,2164659,65305,12154,4259,12570,1844,2898,45.41666667,0.071849008,908920
小片片说大片,太惨了！邪教统治韩国，离谱！魔幻韩剧《地狱公使》上,影视 影视杂谈,all,5065720,68037,11519,4673,958,6443,1554,47.76666667,0.085560038,795196
狈总,成功率最高的约会方式,生活 搞笑,all,1387436,108997,4159,6681,3210,2885,2137,79.06666667,0.069160357,1576004
难道越越不可爱,东 北 女 仆2-狐仙报恩【vrchat】,游戏 网络游戏,all,97944,51261,10901,10984,5896,1560,3103,45.2,0.07088463,723161
刘老师说电影,没有正常人！槽点横飞，bug无数！吐槽悬疑电影《门锁》【院线试毒】,影视 影视杂谈,all,3842605,66320,11277,3935,7775,3676,2856,48.81666667,0.07989293,830111
未名柒柒,就离谱！怎么会这样啊？给我看傻了！,影视 影视剪辑,all,48033,377731,122105,86567,149393,7291,8450,141.65,0.088986781,4244799
逍遥散人,【散人】好玩儿~ 捧腹大笑的坑爹i wanna,游戏 单机游戏,all,5366121,54445,33224,13476,1132,5362,1041,54.43333333,0.154268341,352924
导演小策,先 礼 后 兵  ，乱 世 大 鹅 ！,生活 搞笑,all,2597148,219777,165410,27971,10396,20125,4276,96.06666667,0.113794614,1931348
魔牙小知识,遮不住的赘肉，挽不回的家庭，喊不完的口号，赚不到的大钱,知识 社科·法律·心理,all,16390,42534,6878,11593,12746,5089,4734,77.56666667,0.031833943,1336121
影视飓风,【短片幕后】大半个公司空了？为了控制预算，我们做了哪些尝试,科技 数码,all,3503015,57568,26458,7794,1194,1716,751,47.98333333,0.106633276,539869
FUNNY-ANIMALS,这种人不在少数！,生活 日常,life,176233,105149,476,15999,3271,275,2119,116.8,0.105482642,996837
原神,《原神》EP - 冰峰柔雪之绘,游戏 手机游戏,all,8350410,63815,9833,6740,1806,3792,4466,30.08333333,0.121972897,523190
李志映画,【波兰球】来自五常的音乐感,动画 短片·手书·配音,all,763849,51896,9796,12312,1036,1210,1458,67.13333333,0.094253542,550600
本喵叫兔兔,胡子长在脸上这一窝四个，最终只活下来一个,动物圈 喵星人,animal,717948,62533,31623,4020,689,736,2104,72.51666667,0.128406627,486992
四季童年动画,国产二维动画《四季童年》先导片，爆肝四年请期待,国创 国产原创相关,all,10204,45776,24899,14241,3612,1557,2552,67.01666667,0.123899746,369460
音乐私藏馆,【4K60FPS】五月天《倔强》万人大合唱现场！祝大家心想事成！,音乐 音乐现场,all,4075143,48398,13383,14828,5780,3706,2226,22.3,0.111932135,432387
去种田的向凹凸,一个人的漠河舞厅,音乐 翻唱,all,512608,45961,29754,8180,2749,1237,1457,70.95,0.092012725,499507
真探唐仁杰,望京小腰 厨子探店¥301,美食 美食侦探,all,1275199,62555,5456,2634,975,1497,1057,54.5,0.064830888,964895
粤知一二,广东人洗澡VS北方人洗澡,生活 搞笑,all,1934355,124709,1902,8205,3837,889,2331,102.0833333,0.084114444,1482611
曹小灵比比叨,930美元的精神老头乐，国内法外狂徒，国外最强福音【曹小灵】,知识 财经商业,all,571069,47526,8624,5837,3127,4117,2214,71.51666667,0.059759934,795282
low君热剧,【low君】反穿书 《心跳恋爱》：当玛丽苏文男女主，穿越到现实生活中会怎样！！！,影视 影视杂谈,all,2120137,60739,8879,5062,9041,5445,2874,31.58333333,0.09739761,623619
梗指南,火影手游2000是什么梗【梗指南】,生活 搞笑,all,1475896,61009,3162,2745,3153,886,3023,67.36666667,0.074173453,822518
BY2girl,BY2《不再懦弱》今日上线！,娱乐 明星综合,all,327144,43353,26146,7662,1894,1887,2216,69.35,0.089968062,481871
80音游狗Tennie天灵,我连小朋友都不如【maimai UNiVERSE】パーフェクトチャレンジ LIFE10初完走！Lv14 BLACK SWAN MASTER SSS＋,游戏 音游,all,4880,281000,7695,57361,43926,6160,5133,230.8166667,0.095252139,2950065
秃草是真的,康师傅：求求你不要卷我了,美食 美食测评,all,538621,63537,1068,2597,1256,2008,1348,48.88333333,0.061417364,1034512
Re酒歌,【原神】2.3版本限时领取！这1520原石别忘了拿,游戏 手机游戏,all,296867,30259,16028,13280,1580,383,2056,22.18333333,0.048489656,624030
俊孩玄晔,那些无法超越的电影画面和台词,影视 影视剪辑,all,181387,54440,24880,42109,2631,1909,738,130.2833333,0.05407913,1006673
中国BOY超级大猩猩,监狱模拟器！,游戏 单机游戏,all,7760067,61340,15336,7523,448,3545,1194,23.76666667,0.142859472,429373
真子日记,《到底是什么让一个肌肉猛男如此惊慌失措》,生活 搞笑,all,817747,58354,3495,2279,1524,1834,1087,54.6,0.069239239,842788
执着的欧,救命！相亲男方的行为举止和年龄完全不符...,生活 日常,all,81049,31786,9291,5837,20036,12760,4281,69.9,0.029182538,1089213
To明明,望周知:女主头饰是用来端正仪态的，不是用来甩的！！！,影视 影视剪辑,all,8469,69423,6800,17906,1640,1601,2011,102.1166667,0.053090747,1307629
2ez-,惊！这个up主居然用华语乐坛的声音唱了《慢慢》,音乐 翻唱,all,5967,37675,30666,8348,2942,1910,2060,87.68333333,0.066183226,569253
小王子玩乐高,没有这辆乐高小车过不去的沟，看到最后我拍案叫绝！,动画 手办·模玩,all,10557,46883,8279,12983,8317,1705,777,102.2666667,0.049804428,941342
韩小四AprilHan,【众测有效】跟练过亿的无跑跳居家瘦身运动合集，每天45分钟，1-2周见效！（韩小四）,运动 健身,all,2496503,14185,7950,51345,1900,768,752,23.1,0.076201988,186150
知名网友阿荣,第一次来，没什么才艺，给大家表演个变脸吧...,生活 搞笑,all,11277,327429,17352,50006,27833,3772,2986,168.6833333,0.110772613,2955866
雨宫秋橘,如果你在11月25日看到了，希望你不要在今天留下遗憾，而是收获感动！,动画 MAD·AMV,all,2072,95668,39363,31586,4642,18925,13139,122.5833333,0.124933888,765749
小紧张的虫虫,"给我一个饼，我能卷下整个世界的菜,东北筋饼yyds.",美食 美食侦探,all,2241942,52632,14350,3779,2364,4517,1565,24.23333333,0.089460757,588325
笑点有点点高,啊……我真后悔让你救我了,生活 搞笑,all,516,29863,502,10535,14027,275,947,72.21666667,0.038124406,783304
宇多田光,【B站首发】宇多田光《誓い》（Live from “Hikaru Utada Laughter in the Dark Tour 2018”）,音乐 音乐现场,all,268936,39740,24900,7650,2025,415,1510,72.1,0.08931441,444945
林小北Lindo,林小北云顶之弈：开局来直接有分？冷门强势赌狗阵容，赌冰女，赌爆杀流丽桑卓！云顶手游金铲铲之战双城传说 云顶S6上分套路阵容教学！【82期】,游戏 电子竞技,all,821098,40125,35881,4208,1583,1558,1845,31.1,0.084841091,472943
企鹅带带北极熊,《 优 菈 复 刻 现 状 》,游戏 手机游戏,all,185814,43024,14451,6647,2617,1606,3389,26.6,0.078680946,546816
internet-boy,一些意想不到的好物,生活 日常,all,778752,47805,860,23081,1565,525,836,99.11666667,0.063136166,757173
四季童年动画,国产二维动画《四季童年》先导片，爆肝四年请期待,国创 国产原创相关,guochuang,10209,45814,24924,14255,3614,1558,2554,67.05,0.123866816,369865
哔哩哔哩弹幕网,B站2021国创发布会，你找的鸽王都在这里,国创 国产原创相关,guochuang,3479822,41622,4923,7103,1595,1221,2095,102.05,0.046868508,888059
利维坦mY,战斗逻辑堪称完美！这才是顶级斗法！《凡人修仙传》25集逐帧解析,国创 国产原创相关,guochuang,452443,19673,9413,2231,1150,977,1728,24.03333333,0.105771092,185996
